one;
two;
three;
four;
five;
six;
senven;
eight;
nine;
ten;
one is a pencil.;1是一只铅笔
two is a duck.;2是一只鸭子
three is a little ear.;3是一个小耳朵
what can you see?;你能看到什么
four is a flag.;4是一个旗子
five is a key.;5是一个钥匙
six is a whistle.;6是一个哨子
look, one is a ruler.;瞧，1是一个尺子
look, one and two.;瞧，1和2
look around;四处看看
around;
write;
look, listen and write the numbers.;看，听和写数字
number;
on the sport field;在运动场
sport;
look, we can skip;看，我能跳
skip;
Oops;
watch me play the hula hoop;看我玩呼啦圈
play the hula hoop;玩呼啦圈
watch;
play;
hula hoop;呼啦圈
hoop;
hula;
think and write;思考和写
kick the shuttlecock;踢毽子
shuttlecock;
kick;
jump the rope;跳绳
rope;
jump;
come and play. it's fun.;快来玩，好有趣！
It can walk;它能走
play football;踢足球
football;
American football;美式足球